:‑),smiley
:-],smiley
:-3,smiley
:->,smiley
8-),smiley
:-},smiley
:o),smiley
:c),smiley
:^),smiley
:‑d,laughing
8‑d,laughing
x‑d,laughing
x‑d,laughing
b^d,laughing
:-)),very happy
:‑(,frown
:‑c,frown
:‑<,frown
:‑[,frown
:-||,frown
>:[,frown
:{,frown
:@,frown
>:(,frown
;(,frown
:'‑(,crying
:'‑),tears of happiness
d‑':,horror
d:<,horror
d:,horror
d8,horror
d;,horror
d=,horror
dx,horror
:‑o,surprise
:‑o,surprise
:-0,surprise
8‑0,surprise
>:o,surprise
:-*,kiss
:×,kiss
;‑),wink
*-),wink
;‑],wink
;^),wink
":‑,",wink
;d,wink
:‑p,tongue sticking out
x‑p,tongue sticking out
x‑p,tongue sticking out
:‑p,tongue sticking out
:‑þ,tongue sticking out
:‑þ,tongue sticking out
:‑b,tongue sticking out
d:,tongue sticking out
>:p,tongue sticking out
:‑/,skeptical
:‑.,skeptical
>:\,skeptical
>:/,skeptical
:\,skeptical
Err:510,skeptical
#NAME?,skeptical
:l,skeptical
#NAME?,skeptical
:s,skeptical
:‑|,straight face
:$,embarrassed
://),embarrassed
:‑x,sealed lips
:‑#,sealed lips
:‑&,sealed lips
o:‑),angel
0:‑3,angel
0:‑),angel
0;^),angel
>:‑),evil
}:‑),evil
3:‑),evil
>;),evil
>:3,evil
|;‑),cool
|‑o,cool
:‑j,tongue-in-cheek
#‑),partied all night
%‑),drunk
:‑###,being sick
<:‑|,dumb
"',:-|",scepticism
"',:-l",scepticism
@};-,rose
@}->--,rose
@}‑;‑'‑‑‑,rose
@>‑‑>‑‑,rose
5:‑),elvis presley
~:‑\,elvis presley
*<|:‑),santa claus
~(_8^(i),homer simpson
Err:507,bill clinton
7:^],ronald reagan
",:‑)",ronald reagan
</3,broken-heart
<\3,broken-heart
<3,heart
><>,fish
<*)))‑{,fish
o_o,surprise
o‑o,surprise
o_o,surprise
o_o,surprise
o_o,surprise
^5,high five
o/\o,high five
(>_<),troubled
(';'),baby
(^^ゞ,nervous
(^.^)y-.o○,smoking
(-_-)zzz,sleeping
(^_-),wink
((+_+)),confused
(o|o),ultraman
^_^,joyful
(__),kowtow
＼(°ロ＼),questioning
('_'),sad
(ー_ー)!!,shame
(=_=),tired
(=^・^=),cat
(..),looking down
^m^,giggling with hand covering mouth
(・・?,confusion
(－‸ლ),facepalm
>^_^<,normal laugh
(^^)/~~~,waving
(v)o￥o(v),alien baltan
＼(~o~)／,excited
(*_*),amazed
(*^^)v,laughing
((d[-_-]b)),headphones
"(-""-)",worried
(^0_0^),eyeglasses
..)φ,jotting note
(●＾o＾●),happy
(￣ー￣),grinning
(￣□￣;),surprised
(*´▽｀*),infatuation
（,shocked
ﾟ,shocked
дﾟ),shocked
(*￣m￣),dissatisfied
ヽ(´ー｀)┌,mellow
(´･ω･`),snubbed
(*^3^)/~☆,blowing a kiss
.....φ(・∀・＊),studying is good
uwu,joy
owo,cute
.o○,bubbles
☆彡,shooting star
>°)))彡,fish
<コ:彡,octopus
ｃ:.ミ,octopus
~>°)～～～,snake
～°·_·°～,bat
(°°)～,tadpole
●～*,bomb
￣|○,despair
(╯°□°）╯︵,table flip
┻━┻,table flip
:),smiley
:],smiley
:3,smiley
:>,smiley
8),smiley
:},smiley
:d,laughing
8d,laughing
xd,laughing
xd,laughing
:)),very happy
:(,frown
:c,frown
:<,frown
:[,frown
:||,frown
:'(,crying
:'),tears of happiness
d':,horror
:o,surprise
:o,surprise
:0,surprise
80,surprise
:*,kiss
;),wink
*),wink
;],wink
":,",wink
:p,tongue sticking out
xp,tongue sticking out
xp,tongue sticking out
:p,tongue sticking out
:þ,tongue sticking out
:þ,tongue sticking out
:b,tongue sticking out
:/,skeptical
:.,skeptical
:|,straight face
:x,sealed lips
:#,sealed lips
:&,sealed lips
o:),angel
0:3,angel
0:),angel
>:),evil
}:),evil
3:),evil
|;),cool
|o,cool
:j,tongue-in-cheek
#),partied all night
%),drunk
:###,being sick
<:|,dumb
"',:|",scepticism
"',:l",scepticism
@};,rose
5:),elvis presley
~:\,elvis presley
*<|:),santa claus
",:)",ronald reagan
<*))){,fish
oo,surprise
(^.^)y.o○,smoking
(^_),wink
:-),smiley
:-],smiley
:-)),very happy
:-(,frown
:-c,frown
:-<,frown
:-[,frown
:-||,frown
:'-(,crying
:'-),tears of happiness
d-�:,horror
:-o,surprise
:-o,surprise
:-0,surprise
:-*,kiss
;-),wink
*-),wink
;-],wink
